model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params,eigs
MayaPH/opt-flan-iml-6.7b,False,0.03334689140319824,4096,16384,4.811393737792969,11.873802331030946,1.1791157722473145,11.873887062072754,4.190747105464764,2.4678508927181606,model.decoder.layers.3.fc2,4096,15514.8330078125,4096,293.66412353515625,52.831897955540114,293.66412353515625,0.18528854846954346,67112960,"[1.8528855e-01 5.0060660e-01 5.0444323e-01 ... 3.0402203e+01 4.1123024e+01
 2.9366412e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.025039225816726685,4096,4096,2.023420810699463,4.839244883921892,0.8888751268386841,5.248142242431641,3.4540300544021223,2.3916156532209656,model.decoder.layers.4.self_attn.k_proj,3997,2844.657958984375,4055,246.3857879638672,11.545544012471806,246.3857879638672,1.0752256457635667e-05,16781312,"[1.07522565e-05 1.09151315e-05 1.14833210e-05 ... 1.30522583e+02
 1.47865692e+02 2.46385788e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.01832503080368042,4096,4096,3.4743597507476807,3.6692826216446104,1.1460760831832886,4.271513938903809,3.2927706558260024,1.056103249197203,model.decoder.layers.4.self_attn.v_proj,4079,1962.32373046875,4079,11.37897777557373,172.45167089447182,11.37897777557373,1.2257997695996892e-05,16781312,"[1.2257998e-05 1.2668124e-05 1.3797361e-05 ... 7.4033437e+00 8.1850653e+00
 1.1378978e+01]"
MayaPH/opt-flan-iml-6.7b,False,0.029802441596984863,4096,4096,1.5697407722473145,3.595424260891798,0.893646776676178,4.361004829406738,3.4741582289307624,2.290457331846213,model.decoder.layers.4.self_attn.q_proj,4006,2979.601806640625,4054,195.1898956298828,15.265143705443222,195.1898956298828,1.0250595551042352e-05,16781312,"[1.0250596e-05 1.1199201e-05 1.1616569e-05 ... 1.3003195e+02 1.7062749e+02
 1.9518990e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.02135753631591797,4096,4096,2.7397661209106445,3.6161849300335667,1.1260333061218262,3.7780396938323975,3.000188558013437,1.3198881840438328,model.decoder.layers.4.self_attn.out_proj,4073,1000.4342651367188,4073,20.887582778930664,47.89612449296231,20.887582778930664,1.0284868039889261e-05,16781312,"[1.0284868e-05 1.3185454e-05 1.3251389e-05 ... 6.1376882e+00 8.8791132e+00
 2.0887583e+01]"
MayaPH/opt-flan-iml-6.7b,False,0.014867544174194336,16384,4096,2.592438220977783,6.7857088915507715,1.1313519477844238,7.008175849914551,4.230418982767195,2.6175007128969976,model.decoder.layers.4.fc1,4096,16998.828125,4096,414.4772644042969,41.012691370252575,414.4772644042969,0.11850012093782425,67125248,"[1.1850012e-01 1.3952938e-01 1.5394637e-01 ... 1.5763390e+02 2.4021619e+02
 4.1447726e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.02615797519683838,4096,16384,4.876923561096191,11.590056601608847,1.1813808679580688,11.590164184570312,4.179615740412252,2.3765097927849697,model.decoder.layers.4.fc2,4096,15122.2265625,4096,237.96319580078125,63.54859419168362,237.96319580078125,0.1828143149614334,67112960,"[1.8281431e-01 1.9034161e-01 3.6525935e-01 ... 2.6005369e+01 2.9100998e+01
 2.3796320e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.025686487555503845,4096,4096,2.5211400985717773,5.6489697393161435,0.9746742248535156,5.991368293762207,3.5705830694063594,2.2406409475285716,model.decoder.layers.5.self_attn.k_proj,4021,3720.34375,4059,174.0367431640625,21.376771837731262,174.0367431640625,1.0132049283129163e-05,16781312,"[1.0132049e-05 1.0266084e-05 1.0940147e-05 ... 9.0724403e+01 9.9224228e+01
 1.7403674e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.013798832893371582,4096,4096,3.1377577781677246,3.350636619091961,1.1415969133377075,4.272465229034424,3.3385059547411786,1.0678442556673529,model.decoder.layers.5.self_attn.v_proj,4081,2180.248291015625,4081,11.690800666809082,186.49264093651746,11.690800666809082,1.0377087164670229e-05,16781312,"[1.03770872e-05 1.05786303e-05 1.10793935e-05 ... 8.81315231e+00
 1.02323704e+01 1.16908007e+01]"
MayaPH/opt-flan-iml-6.7b,False,0.021144568920135498,4096,4096,2.394991874694824,5.902775711381269,0.9643415212631226,6.174321174621582,3.660382384243727,2.4646328756891567,model.decoder.layers.5.self_attn.q_proj,4003,4574.908203125,4059,291.4961853027344,15.69457314981228,291.4961853027344,1.0688015208870638e-05,16781312,"[1.0688015e-05 1.1379333e-05 1.3012883e-05 ... 1.3869815e+02 1.5691466e+02
 2.9149619e+02]"
